Sample,DNA (µg),DNA/µl in well,Papain digest volume,xvolume,Weight (mg) ,DNA/mg,Average,Stdev
SH001(1) #1,0.172930141397172,0.017293014139717,105.76,1.82890917541649,4.4,0.415661176231021,,
SH001(1) #2,0.147207055858883,0.014720705585888,125,1.84008819823604,5.2,0.353863115045392,,
SH001(1) #3,0.156292874142517,0.015629287414252,122.59,1.91599434411312,5.1,0.375685165512376,0.381736485596263,0.018094326437164
SH001(4) #1,0.205063930013459,0.020506393001346,115.38,2.36602762449529,4.8,0.492922421769852,,
SH001(4) #2,0.148508299685958,0.014850829968596,120,1.78209959623149,5,0.356419919246299,,
SH001(4) #3,0.187118663077613,0.018711866307761,125,2.33898328847016,5.2,0.449804478551955,0.433048939856035,0.04028562339322
SH002(3) #1,0.180983624943921,0.018098362494392,137.01,2.47965664535666,5.7,0.435027481641519,,
SH002(3) #2,0.19231998654105,0.019231998654105,115.38,2.21898800471063,4.8,0.462289167648049,,
SH002(3) #3,0.173847577388964,0.017384757738896,117.78,2.04757676648721,4.9,0.417872809487186,0.438396486258918,0.012932077200416
SH002(1) #1,0.219442811143777,0.021944281114378,120.19,2.63748314713706,5,0.527496629427412,,
SH002(1) #2,0.244104717905642,0.024410471790564,127.4,3.10989410611788,5.3,0.58677247285243,,
SH002(1) #3,0.25157496850063,0.025157496850063,108.17,2.72128643427131,4.5,0.604730318726959,0.572999807002267,0.023334705441823
SH003(1) #1,0.23386888739345,0.023386888739345,108.17,2.52975975493494,4.5,0.562168834429988,,
SH003(1) #2,0.328844212651413,0.032884421265141,112.98,3.71528191453567,4.7,0.790485513730993,,
SH003(1) #3,0.236964445939883,0.023696444593988,144.23,3.41773820379094,6,0.569623033965156,0.640759127375379,0.07489411269922
SH003(4) #1,0.195576088478231,0.019557608847823,122.59,2.39756726865463,5.1,0.470111229147966,,
SH003(4) #2,0.266117877642447,0.026611787764245,127.4,3.39034176116478,5.3,0.639687124748072,,
SH003(4) #3,0.264345513089738,0.026434551308974,117.78,3.11346145317094,4.9,0.635400296565497,0.581732883487178,0.055824545115429
SH004(1) #1,0.10494400663625,0.010494400663625,153.8,1.61403882206553,6.4,0.252193565947739,,
SH004(1) #2,0.155351859532697,0.01553518595327,137.01,2.12847582745749,5.7,0.373416811834647,,
SH004(1) #3,0.140666390156228,0.014066639015623,156.25,2.19791234619107,6.5,0.338140360952472,0.321250246244953,0.035998730611714
SH004(2) #1,0.155239872805198,0.01552398728052,151.442,2.35098368173649,6.3,0.373172012974046,,
SH004(2) #2,0.108060279275543,0.010806027927554,149.03,1.61042234204341,6.2,0.25974553903926,,
SH004(2) #3,0.125534356421955,0.012553435642196,151.44,1.90109229365408,6.3,0.301760681532394,0.3115594111819,0.033107917353093
SH005(1) #1,0.059677140883978,0.005967714088398,170.6,1.01809202348066,7.1,0.143393242743756,,
SH005(1) #2,0.141999021639042,0.014199902163904,112.9,1.60316895430479,4.7,0.341099777511657,,
SH005(1) #3,0.103861648250461,0.010386164825046,153.8,1.59739215009208,6.4,0.249592523451888,0.244695181235767,0.057125465550457
SH005(2) #1,0.091010589318601,0.00910105893186,100.9,0.918296846224679,4.2,0.218642106243971,,
SH005(2) #2,0.086202232965009,0.008620223296501,93.75,0.808145934046962,3.9,0.207216906165888,,
SH005(2) #3,0.106540630755064,0.010654063075507,134.6,1.43403688996317,5.6,0.256078016064851,0.227312342824903,0.014756148627117
SH006(1) #1,0.081652854511971,0.008165285451197,149,1.21662753222836,6.2,0.196230247133607,,
