From	To	Species	Gene Name
P04196	HRG	Homo sapiens	histidine rich glycoprotein(HRG)
Q8N1N4	KRT78	Homo sapiens	keratin 78(KRT78)
P05546	SERPIND1	Homo sapiens	serpin family D member 1(SERPIND1)
P35527	KRT9	Homo sapiens	keratin 9(KRT9)
P08603	CFH	Homo sapiens	complement factor H(CFH)
P04217	A1BG	Homo sapiens	alpha-1-B glycoprotein(A1BG)
P13645	KRT10	Homo sapiens	keratin 10(KRT10)
P05452	CLEC3B	Homo sapiens	C-type lectin domain family 3 member B(CLEC3B)
Q6PML9	SLC30A9	Homo sapiens	solute carrier family 30 member 9(SLC30A9)
P06681	C2	Homo sapiens	complement C2(C2)
P02749	APOH	Homo sapiens	apolipoprotein H(APOH)
P02748	C9	Homo sapiens	complement C9(C9)
Q03591	CFHR1	Homo sapiens	complement factor H related 1(CFHR1)
P19013	KRT4	Homo sapiens	keratin 4(KRT4)
P22352	GPX3	Homo sapiens	glutathione peroxidase 3(GPX3)
Q15113	PCOLCE	Homo sapiens	procollagen C-endopeptidase enhancer(PCOLCE)
P08571	CD14	Homo sapiens	CD14 molecule(CD14)
P02743	APCS	Homo sapiens	amyloid P component, serum(APCS)
P02741	CRP	Homo sapiens	C-reactive protein(CRP)
P02649	APOE	Homo sapiens	apolipoprotein E(APOE)
P02647	APOA1	Homo sapiens	apolipoprotein A1(APOA1)
P29622	SERPINA4	Homo sapiens	serpin family A member 4(SERPINA4)
P01871	ighm	Homo sapiens	immunoglobulin heavy constant mu(IGHM)
P04075	ALDOA	Homo sapiens	aldolase, fructose-bisphosphate A(ALDOA)
P09871	C1S	Homo sapiens	complement C1s(C1S)
P13671	C6	Homo sapiens	complement C6(C6)
P15169	CPN1	Homo sapiens	carboxypeptidase N subunit 1(CPN1)
P01011	SERPINA3	Homo sapiens	serpin family A member 3(SERPINA3)
P10643	C7	Homo sapiens	complement C7(C7)
P01008	SERPINC1	Homo sapiens	serpin family C member 1(SERPINC1)
O75882	ATRN	Homo sapiens	attractin(ATRN)
P07225	PROS1	Homo sapiens	protein S (alpha)(PROS1)
Q9NQ79	CRTAC1	Homo sapiens	cartilage acidic protein 1(CRTAC1)
P06396	GSN	Homo sapiens	gelsolin(GSN)
P27169	PON1	Homo sapiens	paraoxonase 1(PON1)
P01019	AGT	Homo sapiens	angiotensinogen(AGT)
