From	To	Species	Gene Name
P04196	HRG	Homo sapiens	histidine rich glycoprotein(HRG)
Q9UPN3	MACF1	Homo sapiens	microtubule-actin crosslinking factor 1(MACF1)
P08603	CFH	Homo sapiens	complement factor H(CFH)
P04217	A1BG	Homo sapiens	alpha-1-B glycoprotein(A1BG)
Q9NTJ3	SMC4	Homo sapiens	structural maintenance of chromosomes 4(SMC4)
P22894	MMP8	Homo sapiens	matrix metallopeptidase 8(MMP8)
P02458	COL2A1	Homo sapiens	collagen type II alpha 1 chain(COL2A1)
Q8IUH4	ZDHHC13	Homo sapiens	zinc finger DHHC-type containing 13(ZDHHC13)
P01127	PDGFB	Homo sapiens	platelet derived growth factor subunit B(PDGFB)
Q02388	COL7A1	Homo sapiens	collagen type VII alpha 1 chain(COL7A1)
P02749	APOH	Homo sapiens	apolipoprotein H(APOH)
P02748	C9	Homo sapiens	complement C9(C9)
Q9Y2C9	TLR6	Homo sapiens	toll like receptor 6(TLR6)
O15226	NKRF	Homo sapiens	NFKB repressing factor(NKRF)
P02649	APOE	Homo sapiens	apolipoprotein E(APOE)
Q9UQL6	HDAC5	Homo sapiens	histone deacetylase 5(HDAC5)
O43572	AKAP10	Homo sapiens	A-kinase anchoring protein 10(AKAP10)
P28370	SMARCA1	Homo sapiens	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 1(SMARCA1)
P02647	APOA1	Homo sapiens	apolipoprotein A1(APOA1)
P01584	IL1B	Homo sapiens	interleukin 1 beta(IL1B)
Q01955	COL4A3	Homo sapiens	collagen type IV alpha 3 chain(COL4A3)
P05997	COL5A2	Homo sapiens	collagen type V alpha 2 chain(COL5A2)
P01871	ighm	Homo sapiens	immunoglobulin heavy constant mu(IGHM)
P01876	IGHA1	Homo sapiens	immunoglobulin heavy constant alpha 1(IGHA1)
Q92794	KAT6A	Homo sapiens	lysine acetyltransferase 6A(KAT6A)
O14920	IKBKB	Homo sapiens	inhibitor of kappa light polypeptide gene enhancer in B-cells, kinase beta(IKBKB)
Q9UIF8	BAZ2B	Homo sapiens	bromodomain adjacent to zinc finger domain 2B(BAZ2B)
Q15878	CACNA1E	Homo sapiens	calcium voltage-gated channel subunit alpha1 E(CACNA1E)
O00463	TRAF5	Homo sapiens	TNF receptor associated factor 5(TRAF5)
P01011	SERPINA3	Homo sapiens	serpin family A member 3(SERPINA3)
P51398	DAP3	Homo sapiens	death associated protein 3(DAP3)
P06756	ITGAV	Homo sapiens	integrin subunit alpha V(ITGAV)
Q99665	IL12RB2	Homo sapiens	interleukin 12 receptor subunit beta 2(IL12RB2)
P09619	PDGFRB	Homo sapiens	platelet derived growth factor receptor beta(PDGFRB)
P01008	SERPINC1	Homo sapiens	serpin family C member 1(SERPINC1)
P21802	FGFR2	Homo sapiens	fibroblast growth factor receptor 2(FGFR2)
P01009	serpina1	Homo sapiens	serpin family A member 1(SERPINA1)
P19876	CXCL3	Homo sapiens	C-X-C motif chemokine ligand 3(CXCL3)
P02652	APOA2	Homo sapiens	apolipoprotein A2(APOA2)
Q13219	PAPPA	Homo sapiens	pappalysin 1(PAPPA)
P02671	FGA	Homo sapiens	fibrinogen alpha chain(FGA)
P25940	COL5A3	Homo sapiens	collagen type V alpha 3 chain(COL5A3)
P02452	COL1A1	Homo sapiens	collagen type I alpha 1 chain(COL1A1)
Q6GQQ9	OTUD7B	Homo sapiens	OTU deubiquitinase 7B(OTUD7B)
Q9NYQ6	CELSR1	Homo sapiens	cadherin EGF LAG seven-pass G-type receptor 1(CELSR1)
Q9NYQ7	celsr3	Homo sapiens	cadherin EGF LAG seven-pass G-type receptor 3(CELSR3)
P06396	GSN	Homo sapiens	gelsolin(GSN)
P27169	PON1	Homo sapiens	paraoxonase 1(PON1)
P63261	ACTG1	Homo sapiens	actin gamma 1(ACTG1)
P01031	C5	Homo sapiens	complement C5(C5)
Q8NHJ6	LILRB4	Homo sapiens	leukocyte immunoglobulin like receptor B4(LILRB4)
P20908	COL5A1	Homo sapiens	collagen type V alpha 1 chain(COL5A1)
Q14624	ITIH4	Homo sapiens	inter-alpha-trypsin inhibitor heavy chain family member 4(ITIH4)
P02774	GC	Homo sapiens	GC, vitamin D binding protein(GC)
Q9UEW3	MARCO	Homo sapiens	macrophage receptor with collagenous structure(MARCO)
Q9ULC6	PADI1	Homo sapiens	peptidyl arginine deiminase 1(PADI1)
P01857	Ighg1	Homo sapiens	immunoglobulin heavy constant gamma 1 (G1m marker)(IGHG1)
P53355	DAPK1	Homo sapiens	death associated protein kinase 1(DAPK1)
P00738	HP	Homo sapiens	haptoglobin(HP)
P01024	C3	Homo sapiens	complement C3(C3)
