Sample	AQP1	S100A1	TAGLN2	CPAMD8	IGFBP7	CTSZ	GPNMB	S100A4	COL1A1	CD74
SH017	0.58506391	1.6132880259	1.7175252321	0.4811535472	2.6765817527	0.2576964777	0.7262564682	2.4946836424	4.8392510002	0.4037472078
SH028	0.33737423	3.2262845707	1.997854105	1.997854105	1.6998231715	0.3582013543	0.5479935276	1.4890609519	1.0081558981	0.4366849185
SH039	0.7251534378	0.9651449744	1.5211123329	1.3331993457	2.1809626025	0.2124620724	1.1831282598	0.657009468	7.550942923	0.355330859
SH029	0.3428736343	2.5330875205	1.0321077403	2.2519195591	1.2685580657	0.205251127	0.6037728872	1.5247848634	1.0670665694	0.2482007738
SH057	0.7665348496	4.0287539478	1.6389242361	1.6606085408	1.1334846345	0.198226514	0.4983661688	0.4468033692	2.7555804534	0.3864926861
SH031	0.3558418698	2.027566181	1.3965508533	0.7941548411	3.4185135727	0.3211698903	0.8796757624	1.9541595784	1.6530314655	0.6319366491
SH023	0.3875967666	3.7904371272	1.0507425485	1.5856185418	2.5555923435	0.1706176955	0.3312780632	1.221334068	0.9138960162	0.1301027214
SH049	0.9891406103	2.5401048532	1.6084639128	0.8043180846	2.9833854642	0.1666842922	0.3495293575	0.5390351311	0.9611898681	0.3523365269
SH007	0.1122215295	3.9772249463	5.4201133432	0.9426056652	3.2816562666	0.3082285758	0.3548087765	0.7128258076	0.4423859921	0.0399475256
SH005	0.234257843	5.2873621824	0.7947761181	2.1623537378	2.0589320017	0.2346698042	0.2899275848	0.892740985	1.3364340861	0.080996359
SH045	0.6532190964	3.0628435179	1.2466024293	0.9480244701	2.2439626854	0.2753919845	0.5749069749	0.6010214171	0.5213183736	0.6504020682
SH060	0.9809277821	4.8320066038	1.6155276865	1.3252264228	1.7972394038	0.229046569	0.6881089607	0.4174592584	3.6478362073	0.4663524435
SH059	1.2882861575	2.2720530466	1.5490269874	0.8000901215	1.8371815192	0.2014282089	0.5989192943	0.4898275467	3.6931522205	0.2532384467
SH006	0.1913136141	5.7803130928	0.4435718363	3.1645938765	1.5736704807	0.1371365268	0.1291222772	0.5738730715	0.4245247191	0.0489523407
SH008	0.0659303308	6.8627296705	0.7448778593	5.0707830268	0.6655734627	0.146417952	0.2231619863	0.9171196275	0.7563388904	0.0761564058
SH043	0.2646405337	1.9563025091	1.1623965843	1.9591081499	2.2046228288	0.1548917503	0.2313959761	0.6820555604	0.2376935872	0.0750800497
SH041	0.9182517898	2.2902682515	2.3649190005	1.3363560519	1.7643031506	0.1761710195	0.3749175516	0.6399412595	2.2568830562	0.0891754672
SH024	0.318585411	1.5686302175	0.7775464238	1.4171479712	0.9155072099	0.1195106311	0.3363667353	0.2819725409	0.2820379729	0.1078750629
SH002	0.1184388155	3.5279960064	0.373473072	1.0704294191	2.0908728793	0.1963703256	0.2286165198	0.9958555391	0.5860717418	0.0564593637
SH032	0.101128278	7.6393525962	0.9130854471	1.9525588688	1.3878552993	0.2375136434	0.1444940794	1.2084268117	0.3721593562	0.060619975
SH012	0.1183931798	2.4306977014	0.6082523375	1.443805168	0.8298640172	0.1325865263	0.0647278232	0.1548605248	0.1612781269	0.0749481977
