Row.names	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	gene_name
10727	ENSG00000162511	615.613130291296	2.07363796886672	0.258602150918321	8.01864161416691	1.06920965491765e-15	5.26318452633213e-12	LAPTM5
968	ENSG00000066294	189.220617730646	2.40797600731068	0.309815794140295	7.77228292699714	7.70840330414515e-15	1.30609339549695e-11	CD84
554	ENSG00000038945	243.534245143254	1.9331883830369	0.267436366985617	7.22859200050705	4.88027173196848e-13	1.99896907505234e-10	MSR1
3140	ENSG00000105609	75.2647953346538	1.97614586179026	0.286292346896971	6.9025451892412	5.10789654900461e-12	1.24166028456668e-09	LILRB5
4248	ENSG00000114013	38.721755787449	1.99058239666685	0.293004575587474	6.79369048307771	1.09300756090282e-11	2.20650928664472e-09	CD86
32812	ENSG00000261371	708.083171972536	2.20117955380634	0.324521996390608	6.782836227708	1.17839196559649e-11	2.27475860809753e-09	PECAM1
5366	ENSG00000123338	152.003817287742	1.52047260700949	0.224265662481791	6.77978336132017	1.20356219249683e-11	2.30079024954006e-09	NCKAP1L
8003	ENSG00000140749	44.550675709282	1.9903804440574	0.297055910981389	6.70035629818555	2.07911969991589e-11	3.49896298216615e-09	IGSF6
4377	ENSG00000115165	26.1663919679726	1.89881314380282	0.293739034420403	6.46428605428454	1.01778181534131e-10	1.2525077465044e-08	CYTIP
7217	ENSG00000136167	244.252259610367	1.94734862124061	0.302061126558226	6.4468693586271	1.14184129372508e-10	1.3625972771786e-08	LCP1
2284	ENSG00000100365	29.4313929459815	2.23803249912774	0.348662137534721	6.41891464026508	1.37249335033677e-10	1.61822718970844e-08	NCF4
4604	ENSG00000116701	70.4746340889911	1.80447511576563	0.28534043732098	6.3239375838475	2.54980752355412e-10	2.69096522077021e-08	NCF2
3819	ENSG00000110876	89.4030160854089	1.94518609340618	0.311680194208951	6.24096792015643	4.34871437637895e-10	4.10476071365554e-08	SELPLG
4504	ENSG00000115919	174.143742388715	1.56107921337227	0.250476285890347	6.23244315454149	4.59216201267532e-10	4.25857197670736e-08	KYNU
4510	ENSG00000115956	109.389882299175	1.68846038649702	0.273457472961368	6.17448983277761	6.63774524995615e-10	5.60932205886853e-08	PLEK
9239	ENSG00000149781	78.4394819092598	1.42522286488407	0.231575891449891	6.15445267622974	7.53372150677933e-10	6.33927249865321e-08	FERMT3
2450	ENSG00000101160	4413.06204431982	0.646008854518969	0.107011487878755	6.03681779708458	1.5718302899961e-09	1.19495515096615e-07	CTSZ
815	ENSG00000060558	28.5579251963964	1.90652634016345	0.317331676620559	6.00799252210526	1.87834502736659e-09	1.38236874126619e-07	GNA15
14422	ENSG00000178562	39.8591888937399	1.86459268812036	0.310366261142932	6.00771707998783	1.88153795154565e-09	1.38236874126619e-07	CD28
389	ENSG00000019169	454.932753019568	1.89541635328674	0.323941729907272	5.85110277033249	4.88324358163673e-09	3.04661870105264e-07	MARCO
598	ENSG00000043462	44.1827988755725	1.84780047673558	0.316287351729317	5.84215735037344	5.1529098775827e-09	3.13195052587958e-07	LCP2
1201	ENSG00000072694	115.709416848346	1.95463879788033	0.334576182945002	5.84213371279222	5.15364129195015e-09	3.13195052587958e-07	FCGR2B
14618	ENSG00000179639	10.6594048393065	2.20585809267767	0.389508217387539	5.66318756372466	1.4858658993555e-08	7.73986760801844e-07	FCER1A
12668	ENSG00000169896	175.296151109532	1.54256280651265	0.273756881644292	5.63479097675064	1.75270791329313e-08	8.94062663542534e-07	ITGAM
3093	ENSG00000105383	22.1154979422983	1.70327109269905	0.323765311853185	5.2608202001313	1.43414221050713e-07	5.40962837641483e-06	CD33
24215	ENSG00000231048	5.61498448385164	1.55209356228016	0.315317416781987	4.92232106339148	8.55237515888821e-07	2.3794829510158e-05	LST1
18485	ENSG00000206433	5.39250500208395	1.53224167611742	0.318433049054612	4.81181736841217	1.49563996994799e-06	3.83952425140494e-05	LST1
24091	ENSG00000230791	5.64694728596308	1.51205273645024	0.314736010506595	4.80419362886521	1.55376412527093e-06	3.95266351764659e-05	LST1
35264	ENSG00000273991	37.3952899748152	1.76343924732343	0.369185845134334	4.77656245645542	1.78317186668526e-06	4.46132834244381e-05	LILRB5
21938	ENSG00000226182	6.25582771533609	1.44208985406873	0.303942551106881	4.74461324621053	2.08905082697893e-06	5.1352572763065e-05	LST1
15355	ENSG00000183486	33.7567198810232	0.901304320052614	0.190196991888093	4.73879376905665	2.14994173470705e-06	5.25215294744191e-05	MX2
8636	ENSG00000145020	352.916367193408	-0.548652439305521	0.117598916225831	-4.66545489460054	3.07935040970412e-06	7.10054659350273e-05	AMT
26457	ENSG00000235915	5.83424637329057	1.46341930255268	0.314513287641513	4.65296494633545	3.2719588735618e-06	7.46522250526442e-05	LST1
36675	ENSG00000277414	18.8268451890441	1.51025030316259	0.333322918981264	4.53089246841584	5.87350307472096e-06	0.000121480331450899	LILRB5
8762	ENSG00000145936	16.4509779598916	0.878806959050794	0.199902311248382	4.39618208295182	1.10171526394185e-05	0.00020484205426832	KCNMB1
8226	ENSG00000142512	13.4806335121755	0.946996777992912	0.231962687743196	4.08253925321527	4.45462849172195e-05	0.000639763931451532	SIGLEC10
17998	ENSG00000204482	8.18710148780453	1.14466079774431	0.286373564403517	3.99708960611816	6.41260319226881e-05	0.000860110060325428	LST1
7995	ENSG00000140678	32.1306780200026	1.30878669536277	0.332536812515308	3.93576484198279	8.29321498802215e-05	0.0010562315854732	ITGAX
5569	ENSG00000124731	686.950978029318	1.13845987981316	0.305075726507282	3.73172881647136	0.000190170162384727	0.00206305812526461	TREM1
37074	ENSG00000278437	18.7531260873409	1.447158015268	0.399580578874273	3.62169257411116	0.000292681812017279	0.00292384823877231	LILRB5
35388	ENSG00000274311	14.4865633876421	1.18260373444528	0.370995070853756	3.18765349556747	0.00143432306240898	0.0102809687290982	LILRB5
9325	ENSG00000150938	7022.27025208498	-0.349832320143057	0.11473565120337	-3.0490289328029	0.00229582369882616	0.0149219672205609	CRIM1
9673	ENSG00000153904	1188.72927530107	-0.290901734078592	0.0959658607596497	-3.03130438028547	0.00243499645260757	0.0156478721122203	DDAH1
13251	ENSG00000172349	1796.5195874885	-0.310974150760485	0.104369099782874	-2.97956149288847	0.00288661284642575	0.0178341408679394	IL16
4957	ENSG00000119737	66.6432665953492	-0.347317418696111	0.124553223152873	-2.7885060691671	0.00529517552624113	0.0283166773796002	GPR75
6123	ENSG00000129353	5220.24993189684	-0.352796609428879	0.128807185043513	-2.73895131944463	0.00616354990039982	0.0317116011337529	SLC44A2
16275	ENSG00000187323	419.462545383266	-0.570863200407318	0.209171022737269	-2.72916961889293	0.00634940359303941	0.0324053283429098	DCC
10793	ENSG00000162733	13190.9251575381	-0.251150987055333	0.0925849418239714	-2.7126548022554	0.00667465974118534	0.0337244162955965	DDR2
9727	ENSG00000154265	2198.52023609381	-0.348145315200947	0.128659659047891	-2.70593997976753	0.00681113550655593	0.0341684734074105	ABCA5
9450	ENSG00000151882	260.061447050795	-0.216435919830146	0.0851173380678913	-2.54279474362218	0.0109969808160204	0.0491115146415741	CCL28
5846	ENSG00000126785	1136.11978087704	-0.24402977266661	0.102795153256634	-2.37394239840643	0.0175992957851537	0.0692091340143151	RHOJ
36093	ENSG00000275990	6.179929497698	0.895011456250682	0.386807225013026	2.31384368846922	0.020676297924771	0.0782464551487104	NCF4
10588	ENSG00000161544	781.286263174366	-0.209110217577845	0.111059282363473	-1.88287023945889	0.059717955261532	0.168242458019683	CYGB
4317	ENSG00000114698	1053.22950624435	-0.092410245365528	0.0644575025076207	-1.43366158740951	0.151668859022195	0.32085168868075	PLSCR4
20851	ENSG00000223865	119.057947631626	0.506117472798244	0.399751095302708	1.26608151608688	0.20548389945607	0.392166131655523	HLA-DPB1
22246	ENSG00000226826	122.955817846081	0.50484063492772	0.400021165081948	1.26203480964388	0.206936260970144	0.393812682678564	HLA-DPB1
27300	ENSG00000237710	122.955817846081	0.50484063492772	0.400021165081948	1.26203480964388	0.206936260970144	0.393812682678564	HLA-DPB1
23389	ENSG00000229295	102.341799817776	0.48489138400464	0.386166097316942	1.25565498207542	0.209241087633014	0.397053684270569	HLA-DPB1
24078	ENSG00000230763	85.8527993924506	0.342260152049744	0.399087934584309	0.857605861741329	0.391110137195927	0.59015699297937	HLA-DPB1
26819	ENSG00000236693	85.8527993924506	0.342260152049744	0.399087934584309	0.857605861741329	0.391110137195927	0.59015699297937	HLA-DPB1
19303	ENSG00000213762	267.640657385734	0.0557211085025754	0.0714384067861437	0.77998811856738	0.435397868734635	0.631198842067475	ZNF134
24057	ENSG00000230708	261.305159274747	0.274063360745814	0.405341703754327	0.676129197186975	0.49895862065455	0.683934151968797	HLA-DPB1
19757	ENSG00000215048	11.0675153306753	0.209571797626648	0.31524094036452	0.664798796071079	0.506179192803845	0.689485372700141	HLA-DPB1
9620	ENSG00000153246	1057.12186558282	-0.0513792879961841	0.104462322374426	-0.491845163196972	0.622828806521594	0.776367384173853	PLA2R1
36645	ENSG00000277354	0.88041856057231	0.0683289500287451	0.2516307465561	0.271544518958503	0.785972264255241	0.886458579630295	CRIM1
20660	ENSG00000223465	0.949619217633196	0.00663954756678964	0.407268682729951	0.0163026224414907	0.986992965414405	0.993023297496313	LST1
25815	ENSG00000234514	7.95671296086557	1.04190313588612	0.406042906051424	2.56599270756419	NA	NA	LST1
