Entry	Entry name	Status	Protein names	Organism	Length	Gene names  (primary )
Q495T6	MMEL1_HUMAN	reviewed	Membrane metallo-endopeptidase-like 1 (EC 3.4.24.11) (Membrane metallo-endopeptidase-like 2) (NEP2(m)) (Neprilysin II) (NEPII) (Neprilysin-2) (NEP2) (NL2) [Cleaved into: Membrane metallo-endopeptidase-like 1, soluble form (Neprilysin-2 secreted) (NEP2(s))]	Homo sapiens (Human)	779	MMEL1
Q9H8L6	MMRN2_HUMAN	reviewed	Multimerin-2 (EMILIN-3) (Elastin microfibril interface located protein 3) (Elastin microfibril interfacer 3) (EndoGlyx-1 p125/p140 subunit)	Homo sapiens (Human)	949	MMRN2
Q13421	MSLN_HUMAN	reviewed	Mesothelin (CAK1 antigen) (Pre-pro-megakaryocyte-potentiating factor) [Cleaved into: Megakaryocyte-potentiating factor (MPF); Mesothelin, cleaved form]	Homo sapiens (Human)	630	MSLN
P08118	MSMB_HUMAN	reviewed	Beta-microseminoprotein (Immunoglobulin-binding factor) (IGBF) (PN44) (Prostate secreted seminal plasma protein) (Prostate secretory protein of 94 amino acids) (PSP-94) (PSP94) (Seminal plasma beta-inhibin)	Homo sapiens (Human)	114	MSMB
Q1L6U9	MSMP_HUMAN	reviewed	Prostate-associated microseminoprotein (PC3-secreted microprotein)	Homo sapiens (Human)	139	MSMP
Q7Z5P9	MUC19_HUMAN	reviewed	Mucin-19 (MUC-19)	Homo sapiens (Human)	8384	MUC19
P15941	MUC1_HUMAN	reviewed	Mucin-1 (MUC-1) (Breast carcinoma-associated antigen DF3) (Cancer antigen 15-3) (CA 15-3) (Carcinoma-associated mucin) (Episialin) (H23AG) (Krebs von den Lungen-6) (KL-6) (PEMT) (Peanut-reactive urinary mucin) (PUM) (Polymorphic epithelial mucin) (PEM) (Tumor-associated epithelial membrane antigen) (EMA) (Tumor-associated mucin) (CD antigen CD227) [Cleaved into: Mucin-1 subunit alpha (MUC1-NT) (MUC1-alpha); Mucin-1 subunit beta (MUC1-beta) (MUC1-CT)]	Homo sapiens (Human)	1255	MUC1
Q02505	MUC3A_HUMAN	reviewed	Mucin-3A (MUC-3A) (Intestinal mucin-3A)	Homo sapiens (Human)	3323	MUC3A
Q99102	MUC4_HUMAN	reviewed	Mucin-4 (MUC-4) (Ascites sialoglycoprotein) (ASGP) (Pancreatic adenocarcinoma mucin) (Testis mucin) (Tracheobronchial mucin) [Cleaved into: Mucin-4 alpha chain (Ascites sialoglycoprotein 1) (ASGP-1); Mucin-4 beta chain (Ascites sialoglycoprotein 2) (ASGP-2)]	Homo sapiens (Human)	2169	MUC4
Q6W4X9	MUC6_HUMAN	reviewed	Mucin-6 (MUC-6) (Gastric mucin-6)	Homo sapiens (Human)	2439	MUC6
P12872	MOTI_HUMAN	reviewed	Promotilin [Cleaved into: Motilin; Motilin-associated peptide (MAP)]	Homo sapiens (Human)	115	MLN
Q2TV78	MST1L_HUMAN	reviewed	Putative macrophage stimulating 1-like protein (Brain rescue factor 1) (BRF-1) (Hepatocyte growth factor-like protein homolog)	Homo sapiens (Human)	715	MST1L
Q02817	MUC2_HUMAN	reviewed	Mucin-2 (MUC-2) (Intestinal mucin-2)	Homo sapiens (Human)	5179	MUC2
Q96DR8	MUCL1_HUMAN	reviewed	Mucin-like protein 1 (Protein BS106) (Small breast epithelial mucin)	Homo sapiens (Human)	90	MUCL1
Q8TD07	N2DL4_HUMAN	reviewed	NKG2D ligand 4 (N2DL-4) (NKG2DL4) (Lymphocyte effector toxicity activation ligand) (RAE-1-like transcript 4) (RL-4) (Retinoic acid early transcript 1E)	Homo sapiens (Human)	263	RAET1E
P43490	NAMPT_HUMAN	reviewed	Nicotinamide phosphoribosyltransferase (NAmPRTase) (Nampt) (EC 2.4.2.12) (Pre-B-cell colony-enhancing factor 1) (Pre-B cell-enhancing factor) (Visfatin)	Homo sapiens (Human)	491	NAMPT
Q9BZM5	N2DL2_HUMAN	reviewed	NKG2D ligand 2 (N2DL-2) (NKG2DL2) (ALCAN-alpha) (Retinoic acid early transcript 1H) (UL16-binding protein 2)	Homo sapiens (Human)	246	ULBP2
Q8N387	MUC15_HUMAN	reviewed	Mucin-15 (MUC-15)	Homo sapiens (Human)	334	MUC15
Q8WXI7	MUC16_HUMAN	reviewed	Mucin-16 (MUC-16) (Ovarian cancer-related tumor marker CA125) (CA-125) (Ovarian carcinoma antigen CA125)	Homo sapiens (Human)	14507	MUC16
Q9H3R2	MUC13_HUMAN	reviewed	Mucin-13 (MUC-13) (Down-regulated in colon cancer 1)	Homo sapiens (Human)	512	MUC13
Q8N307	MUC20_HUMAN	reviewed	Mucin-20 (MUC-20)	Homo sapiens (Human)	709	MUC20
Q04900	MUC24_HUMAN	reviewed	Sialomucin core protein 24 (MUC-24) (Endolyn) (Multi-glycosylated core protein 24) (MGC-24) (MGC-24v) (CD antigen CD164)	Homo sapiens (Human)	197	CD164
Q9HC84	MUC5B_HUMAN	reviewed	Mucin-5B (MUC-5B) (Cervical mucin) (High molecular weight salivary mucin MG1) (Mucin-5 subtype B, tracheobronchial) (Sublingual gland mucin)	Homo sapiens (Human)	5762	MUC5B
Q8TAX7	MUC7_HUMAN	reviewed	Mucin-7 (MUC-7) (Apo-MG2) (Salivary mucin-7)	Homo sapiens (Human)	377	MUC7
Q969H8	MYDGF_HUMAN	reviewed	Myeloid-derived growth factor (MYDGF) (Interleukin-25) (IL-25) (Stromal cell-derived growth factor SF20)	Homo sapiens (Human)	173	MYDGF
Q8WU39	MZB1_HUMAN	reviewed	Marginal zone B- and B1-cell-specific protein (Mesenteric estrogen-dependent adipose 7) (MEDA-7) (Plasma cell-induced resident endoplasmic reticulum protein) (Plasma cell-induced resident ER protein) (pERp1) (Proapoptotic caspase adapter protein)	Homo sapiens (Human)	189	MZB1
Q685J3	MUC17_HUMAN	reviewed	Mucin-17 (MUC-17) (Small intestinal mucin-3) (MUC-3)	Homo sapiens (Human)	4493	MUC17
P98088	MUC5A_HUMAN	reviewed	Mucin-5AC (MUC-5AC) (Gastric mucin) (Lewis B blood group antigen) (LeB) (Major airway glycoprotein) (Mucin-5 subtype AC, tracheobronchial) (Tracheobronchial mucin) (TBM)	Homo sapiens (Human)	5654	MUC5AC
Q9ULC0	MUCEN_HUMAN	reviewed	Endomucin (Endomucin-2) (Gastric cancer antigen Ga34) (Mucin-14) (MUC-14)	Homo sapiens (Human)	261	EMCN
Q9NR99	MXRA5_HUMAN	reviewed	Matrix-remodeling-associated protein 5 (Adhesion protein with leucine-rich repeats and immunoglobulin domains related to perlecan) (Adlican)	Homo sapiens (Human)	2828	MXRA5
Q99972	MYOC_HUMAN	reviewed	Myocilin (Myocilin 55 kDa subunit) (Trabecular meshwork-induced glucocorticoid response protein) [Cleaved into: Myocilin, N-terminal fragment (Myocilin 20 kDa N-terminal fragment); Myocilin, C-terminal fragment (Myocilin 35 kDa N-terminal fragment)]	Homo sapiens (Human)	504	MYOC
P41271	NBL1_HUMAN	reviewed	Neuroblastoma suppressor of tumorigenicity 1 (DAN domain family member 1) (Protein N03) (Zinc finger protein DAN)	Homo sapiens (Human)	181	NBL1
O14594	NCAN_HUMAN	reviewed	Neurocan core protein (Chondroitin sulfate proteoglycan 3)	Homo sapiens (Human)	1321	NCAN
Q9HB63	NET4_HUMAN	reviewed	Netrin-4 (Beta-netrin) (Hepar-derived netrin-like protein)	Homo sapiens (Human)	628	NTN4
