From	To	Species	Gene Name
NP_002209	ITIH4	Homo sapiens	inter-alpha-trypsin inhibitor heavy chain family member 4(ITIH4)
NP_055581	SCRN1	Homo sapiens	secernin 1(SCRN1)
NP_000055	C3	Homo sapiens	complement C3(C3)
NP_955805	CCDC80	Homo sapiens	coiled-coil domain containing 80(CCDC80)
NP_002718	SRGN	Homo sapiens	serglycin(SRGN)
NP_003371	VIM	Homo sapiens	vimentin(VIM)
NP_000500	FGG	Homo sapiens	fibrinogen gamma chain(FGG)
NP_000079	COL1A1	Homo sapiens	collagen type I alpha 1 chain(COL1A1)
NP_066932	TMSB4X	Homo sapiens	thymosin beta 4, X-linked(TMSB4X)
NP_001629	APOF	Homo sapiens	apolipoprotein F(APOF)
NP_005132	FGB	Homo sapiens	fibrinogen beta chain(FGB)
NP_000419	LTBP2	Homo sapiens	latent transforming growth factor beta binding protein 2(LTBP2)
NP_000884	kng1	Homo sapiens	kininogen 1(KNG1)
NP_000081	COL3A1	Homo sapiens	collagen type III alpha 1 chain(COL3A1)
NP_000509	HBB	Homo sapiens	hemoglobin subunit beta(HBB)
NP_000080	COL1A2	Homo sapiens	collagen type I alpha 2 chain(COL1A2)
NP_005311	Hist1h1d	Homo sapiens	histone cluster 1 H1 family member d(HIST1H1D)
NP_000499	FGA	Homo sapiens	fibrinogen alpha chain(FGA)
NP_733821	LMNA	Homo sapiens	lamin A/C(LMNA)
NP_036230	angptl2	Homo sapiens	angiopoietin like 2(ANGPTL2)
NP_778225	HIST3H2BB	Homo sapiens	histone cluster 3 H2B family member b(HIST3H2BB)
NP_149162	COL2A1	Homo sapiens	collagen type II alpha 1 chain(COL2A1)
NP_000891	MGP	Homo sapiens	matrix Gla protein(MGP)
NP_009224	c4a	Homo sapiens	complement C4A (Rodgers blood group)(C4A)
NP_005991	tuba4a	Homo sapiens	tubulin alpha 4a(TUBA4A)
NP_000198	INS	Homo sapiens	insulin(INS)
NP_004416	ECM1	Homo sapiens	extracellular matrix protein 1(ECM1)
NP_000322	SAA1	Homo sapiens	serum amyloid A1(SAA1)
NP_000691	ANXA1	Homo sapiens	annexin A1(ANXA1)
NP_000497	F2	Homo sapiens	coagulation factor II, thrombin(F2)
NP_001393	EEF1A1	Homo sapiens	eukaryotic translation elongation factor 1 alpha 1(EEF1A1)
NP_115787	c2orf40	Homo sapiens	chromosome 2 open reading frame 40(C2orf40)
NP_004589	SPOCK1	Homo sapiens	SPARC/osteonectin, cwcv and kazal like domains proteoglycan 1(SPOCK1)
NP_005798	PRG4	Homo sapiens	proteoglycan 4(PRG4)
NP_000120	F13A1	Homo sapiens	coagulation factor XIII A chain(F13A1)
NP_110381	SAA2	Homo sapiens	serum amyloid A2(SAA2)
NP_005030	prb1	Homo sapiens	proline rich protein BstNI subfamily 1(PRB1)
