From	To	Species	Gene Name
54792787	CFHR3	Homo sapiens	complement factor H related 3(CFHR3)
6006001	GPX3	Homo sapiens	glutathione peroxidase 3(GPX3)
47777317	CRTAC1	Homo sapiens	cartilage acidic protein 1(CRTAC1)
42544239	CFD	Homo sapiens	complement factor D(CFD)
14550407	C2	Homo sapiens	complement C2(C2)
4826762	HP	Homo sapiens	haptoglobin(HP)
4502163	APOD	Homo sapiens	apolipoprotein D(APOD)
4505529	ORM2	Homo sapiens	orosomucoid 2(ORM2)
4503107	CST3	Homo sapiens	cystatin C(CST3)
4557871	TF	Homo sapiens	transferrin(TF)
4502261	SERPINC1	Homo sapiens	serpin family C member 1(SERPINC1)
11761629	FGA	Homo sapiens	fibrinogen alpha chain(FGA)
4504985	LGALS7	Homo sapiens	galectin 7(LGALS7)
38016947	C5	Homo sapiens	complement C5(C5)
4507725	TTR	Homo sapiens	transthyretin(TTR)
47132553	FN1	Homo sapiens	fibronectin 1(FN1)
16751921	DCD	Homo sapiens	dermcidin(DCD)
16933542	FN1	Homo sapiens	fibronectin 1(FN1)
4557485	CP	Homo sapiens	ceruloplasmin(CP)
13399298	IGLL1	Homo sapiens	immunoglobulin lambda like polypeptide 1(IGLL1)
4505821	pip	Homo sapiens	prolactin induced protein(PIP)
47132555	FN1	Homo sapiens	fibronectin 1(FN1)
21071030	A1BG	Homo sapiens	alpha-1-B glycoprotein(A1BG)
50363221	serpina1	Homo sapiens	serpin family A member 1(SERPINA1)
47132557	FN1	Homo sapiens	fibronectin 1(FN1)
4502337	AZGP1	Homo sapiens	alpha-2-glycoprotein 1, zinc-binding(AZGP1)
4885165	CSTA	Homo sapiens	cystatin A(CSTA)
50363217	serpina1	Homo sapiens	serpin family A member 1(SERPINA1)
50363219	serpina1	Homo sapiens	serpin family A member 1(SERPINA1)
45580688	C7	Homo sapiens	complement C7(C7)
4504893	kng1	Homo sapiens	kininogen 1(KNG1)
4557287	AGT	Homo sapiens	angiotensinogen(AGT)
4502133	APCS	Homo sapiens	amyloid P component, serum(APCS)
4506773	S100A9	Homo sapiens	S100 calcium binding protein A9(S100A9)
45580723	HPR	Homo sapiens	haptoglobin-related protein(HPR)
40217843	COMP	Homo sapiens	cartilage oligomeric matrix protein(COMP)
41393602	C1S	Homo sapiens	complement C1s(C1S)
4504351	HBD	Homo sapiens	hemoglobin subunit delta(HBD)
32483410	GC	Homo sapiens	GC, vitamin D binding protein(GC)
4502149	APOA2	Homo sapiens	apolipoprotein A2(APOA2)
19923106	PON1	Homo sapiens	paraoxonase 1(PON1)
55743122	RBP4	Homo sapiens	retinol binding protein 4(RBP4)
47132549	FN1	Homo sapiens	fibronectin 1(FN1)
32130518	APOC2	Homo sapiens	apolipoprotein C2(APOC2)
55743106	COL6A3	Homo sapiens	collagen type VI alpha 3 chain(COL6A3)
58530842	DSP	Homo sapiens	desmoplakin(DSP)
4501889	ACTG2	Homo sapiens	actin, gamma 2, smooth muscle, enteric(ACTG2)
11321561	HPX	Homo sapiens	hemopexin(HPX)
4501887	ACTG1	Homo sapiens	actin gamma 1(ACTG1)
4501885	ACTB	Homo sapiens	actin beta(ACTB)
4501987	AFM	Homo sapiens	afamin(AFM)
4505047	LUM	Homo sapiens	lumican(LUM)
31542984	ITIH4	Homo sapiens	inter-alpha-trypsin inhibitor heavy chain family member 4(ITIH4)
39725934	SERPINF1	Homo sapiens	serpin family F member 1(SERPINF1)
4503635	F2	Homo sapiens	coagulation factor II, thrombin(F2)
21489959	JCHAIN	Homo sapiens	joining chain of multimeric IgA and IgM(JCHAIN)
4557325	APOE	Homo sapiens	apolipoprotein E(APOE)
56786155	C1QC	Homo sapiens	complement C1q C chain(C1QC)
4826772	IGFALS	Homo sapiens	insulin like growth factor binding protein acid labile subunit(IGFALS)
4504345	HBA2	Homo sapiens	hemoglobin subunit alpha 2(HBA2)
4502157	apoc1	Homo sapiens	apolipoprotein C1(APOC1)
4504165	GSN	Homo sapiens	gelsolin(GSN)
40254482	Amy1a	Homo sapiens	amylase, alpha 1A (salivary)(AMY1A)
4505881	PLG	Homo sapiens	plasminogen(PLG)
54607120	LTF	Homo sapiens	lactotransferrin(LTF)
7705753	C1QA	Homo sapiens	complement C1q A chain(C1QA)
50659080	SERPINA3	Homo sapiens	serpin family A member 3(SERPINA3)
4502067	AMBP	Homo sapiens	alpha-1-microglobulin/bikunin precursor(AMBP)
4504489	HRG	Homo sapiens	histidine rich glycoprotein(HRG)
4503689	FGA	Homo sapiens	fibrinogen alpha chain(FGA)
4502027	ALB	Homo sapiens	albumin(ALB)
4504349	HBB	Homo sapiens	hemoglobin subunit beta(HBB)
4757826	B2M	Homo sapiens	beta-2-microglobulin(B2M)
