"SwissProt 
accession #",SwissProt ID,Phenyx Score,#valid peptides,% Cov,Description
P08603,CFAH_HUMAN,"425,4",100,39.00%,Complement factor H 
P00751,CFAB_HUMAN,"258,0",78,35.00%,Complement factor B Bb fragment
P02790,HEMO_HUMAN,"250,9",162,57.00%,Hemopexin 
P06727,APOA4_HUMAN,"246,3",59,60.00%,Apolipoprotein A-IV 
P01042,KNG1_HUMAN,"245,5",108,45.00%,Low molecular weight growth-promoting factor 
P02774,VTDB_HUMAN,"244,3",76,49.00%,Vitamin D-binding protein 
P04264,K2C1_HUMAN,"242,5",91,39.00%,"Keratin, type II cytoskeletal 1 "
P01031,CO5_HUMAN,"224,0",41,14.00%,Complement C5 alpha' chain
P02751,FINC_HUMAN,"222,9",42,16.00%,Ugl-Y3 
P01008,ANT3_HUMAN,"221,9",83,52.00%,Antithrombin-III 
P43652,AFAM_HUMAN,"216,7",62,30.00%,Afamin 
P01011,AACT_HUMAN,"202,5",93,39.00%,Alpha-1-antichymotrypsin His-Pro-less 
P05155,IC1_HUMAN,"172,8",76,30.00%,Plasma protease C1 inhibitor 
Q14624,ITIH4_HUMAN,"165,6",71,20.00%,35 kDa inter-alpha-trypsin inhibitor heavy chain H4 
P00734,THRB_HUMAN,"161,9",57,32.00%,Thrombin heavy chain 
P02768,ALBU_HUMAN,"157,1",43,29.00%,Serum albumin 
P02748,CO9_HUMAN,"155,1",34,29.00%,Complement component C9b 
P04196,HRG_HUMAN,"154,1",61,34.00%,Histidine-rich glycoprotein 
P02647,APOA1_HUMAN,"148,7",28,60.00%,Apolipoprotein A-I
P25311,ZA2G_HUMAN,"147,3",35,49.00%,Zinc-alpha-2-glycoprotein 
P19823,ITIH2_HUMAN,"144,9",42,23.00%,Inter-alpha-trypsin inhibitor heavy chain H2
P36955,PEDF_HUMAN,"142,8",32,34.00%,Pigment epithelium-derived factor 
P05156,CFAI_HUMAN,"138,7",23,26.00%,Complement factor I light chain 
P13645,K1C10_HUMAN,"136,6",80,22.00%,"Keratin, type I cytoskeletal 10 "
Q9NQ79,CRAC1_HUMAN,"130,3",40,24.00%,Cartilage acidic protein 1 
P04217,A1BG_HUMAN,"130,2",46,32.00%,Alpha-1B-glycoprotein 
P19827,ITIH1_HUMAN,"129,0",24,24.00%,Inter-alpha-trypsin inhibitor heavy chain H1 
P02765,FETUA_HUMAN,"121,1",36,30.00%,Alpha-2-HS-glycoprotein chain B 
P02749,APOH_HUMAN,"117,9",28,42.00%,Beta-2-glycoprotein 1 
P05546,HEP2_HUMAN,"117,0",42,25.00%,Heparin cofactor 2 
P04004,VTNC_HUMAN,"115,1",33,28.00%,Somatomedin-B 
P35908,K22E_HUMAN,"111,2",68,24.00%,"Keratin, type II cytoskeletal 2 epidermal "
P01019,ANGT_HUMAN,"109,5",21,22.00%,Angiotensin-3 
P29622,KAIN_HUMAN,"95,7",26,25.00%,Kallistatin 
P06396,GELS_HUMAN,"94,3",24,14.00%,Gelsolin 
P08697,A2AP_HUMAN,"90,7",32,25.00%,Alpha-2-antiplasmin 
P51884,LUM_HUMAN,"90,5",48,23.00%,Lumican 
Q03591,FHR1_HUMAN,"86,8",25,34.00%,Complement factor H-related protein 1 
P35858,ALS_HUMAN,"85,3",23,18.00%,Insulin-like growth factor-binding protein complex acid labile subunit 
P00748,FA12_HUMAN,"84,7",17,19.00%,Coagulation factor XIIa light chain
P10909,CLUS_HUMAN,"82,4",18,24.00%,Clusterin alpha chain
